path	verdict	capability	entry_point	evidence	phase	archive_dest
.claude-plugin/marketplace.json	KEEP				-	
.claude/scratch/handoff-2026-04-29/EXECUTION-ORDER.md	KEEP-HISTORY				p9	docs/history/.claude/scratch/handoff-2026-04-29/EXECUTION-ORDER.md
.claude/scratch/handoff-2026-04-29/HANDOFF-BRIEF.md	KEEP-HISTORY				p9	docs/history/.claude/scratch/handoff-2026-04-29/HANDOFF-BRIEF.md
.claude/scratch/handoff-2026-04-29/PRINCIPLES-DRAFT.md	KEEP-HISTORY				p9	docs/history/.claude/scratch/handoff-2026-04-29/PRINCIPLES-DRAFT.md
.claude/scratch/handoff-2026-04-29/README.md	KEEP-HISTORY				p9	docs/history/.claude/scratch/handoff-2026-04-29/README.md
.claude/scratch/handoff-2026-04-29/REPORT.md	KEEP-HISTORY				p9	docs/history/.claude/scratch/handoff-2026-04-29/REPORT.md
.claude/scratch/handoff-2026-04-29/_gen_bodies.py	KEEP-HISTORY				p9	docs/history/.claude/scratch/handoff-2026-04-29/_gen_bodies.py
.claude/scratch/handoff-2026-04-29/_phase2_add_to_project.py	KEEP-HISTORY				p9	docs/history/.claude/scratch/handoff-2026-04-29/_phase2_add_to_project.py
.claude/scratch/handoff-2026-04-29/_phase2_create_issues.py	KEEP-HISTORY				p9	docs/history/.claude/scratch/handoff-2026-04-29/_phase2_create_issues.py
.claude/scratch/handoff-2026-04-29/_phase2_wire_deps.py	KEEP-HISTORY				p9	docs/history/.claude/scratch/handoff-2026-04-29/_phase2_wire_deps.py
.claude/scratch/handoff-2026-04-29/_phase3_set_status.py	KEEP-HISTORY				p9	docs/history/.claude/scratch/handoff-2026-04-29/_phase3_set_status.py
.claude/scratch/handoff-2026-04-29/backlog-plan.md	KEEP-HISTORY				p9	docs/history/.claude/scratch/handoff-2026-04-29/backlog-plan.md
.claude/scratch/handoff-2026-04-29/bodies/01.md	KEEP-HISTORY				p9	docs/history/.claude/scratch/handoff-2026-04-29/bodies/01.md
.claude/scratch/handoff-2026-04-29/bodies/02.md	KEEP-HISTORY				p9	docs/history/.claude/scratch/handoff-2026-04-29/bodies/02.md
.claude/scratch/handoff-2026-04-29/bodies/03.md	KEEP-HISTORY				p9	docs/history/.claude/scratch/handoff-2026-04-29/bodies/03.md
.claude/scratch/handoff-2026-04-29/bodies/04.md	KEEP-HISTORY				p9	docs/history/.claude/scratch/handoff-2026-04-29/bodies/04.md
.claude/scratch/handoff-2026-04-29/bodies/05.md	KEEP-HISTORY				p9	docs/history/.claude/scratch/handoff-2026-04-29/bodies/05.md
.claude/scratch/handoff-2026-04-29/bodies/06.md	KEEP-HISTORY				p9	docs/history/.claude/scratch/handoff-2026-04-29/bodies/06.md
.claude/scratch/handoff-2026-04-29/bodies/07.md	KEEP-HISTORY				p9	docs/history/.claude/scratch/handoff-2026-04-29/bodies/07.md
.claude/scratch/handoff-2026-04-29/bodies/08.md	KEEP-HISTORY				p9	docs/history/.claude/scratch/handoff-2026-04-29/bodies/08.md
.claude/scratch/handoff-2026-04-29/bodies/09.md	KEEP-HISTORY				p9	docs/history/.claude/scratch/handoff-2026-04-29/bodies/09.md
.claude/scratch/handoff-2026-04-29/bodies/10.md	KEEP-HISTORY				p9	docs/history/.claude/scratch/handoff-2026-04-29/bodies/10.md
.claude/scratch/handoff-2026-04-29/bodies/11.md	KEEP-HISTORY				p9	docs/history/.claude/scratch/handoff-2026-04-29/bodies/11.md
.claude/scratch/handoff-2026-04-29/bodies/12.md	KEEP-HISTORY				p9	docs/history/.claude/scratch/handoff-2026-04-29/bodies/12.md
.claude/scratch/handoff-2026-04-29/bodies/13.md	KEEP-HISTORY				p9	docs/history/.claude/scratch/handoff-2026-04-29/bodies/13.md
.claude/scratch/handoff-2026-04-29/bodies/14.md	KEEP-HISTORY				p9	docs/history/.claude/scratch/handoff-2026-04-29/bodies/14.md
.claude/scratch/handoff-2026-04-29/bodies/15.md	KEEP-HISTORY				p9	docs/history/.claude/scratch/handoff-2026-04-29/bodies/15.md
.claude/scratch/handoff-2026-04-29/bodies/16.md	KEEP-HISTORY				p9	docs/history/.claude/scratch/handoff-2026-04-29/bodies/16.md
.claude/scratch/handoff-2026-04-29/bodies/17.md	KEEP-HISTORY				p9	docs/history/.claude/scratch/handoff-2026-04-29/bodies/17.md
.claude/scratch/handoff-2026-04-29/bodies/18.md	KEEP-HISTORY				p9	docs/history/.claude/scratch/handoff-2026-04-29/bodies/18.md
.claude/scratch/handoff-2026-04-29/bodies/19.md	KEEP-HISTORY				p9	docs/history/.claude/scratch/handoff-2026-04-29/bodies/19.md
.claude/scratch/handoff-2026-04-29/bodies/20.md	KEEP-HISTORY				p9	docs/history/.claude/scratch/handoff-2026-04-29/bodies/20.md
.claude/scratch/handoff-2026-04-29/bodies/21.md	KEEP-HISTORY				p9	docs/history/.claude/scratch/handoff-2026-04-29/bodies/21.md
.claude/scratch/handoff-2026-04-29/bodies/22.md	KEEP-HISTORY				p9	docs/history/.claude/scratch/handoff-2026-04-29/bodies/22.md
.claude/scratch/handoff-2026-04-29/bodies/23.md	KEEP-HISTORY				p9	docs/history/.claude/scratch/handoff-2026-04-29/bodies/23.md
